,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
34,35.0,RA Jadeja,135.0,1457.0,1962.0,1.0,1732.0,942.0,781.0,790.0,676.0,5.0,5.0,0.0,9.0,3.0,3.0,3.0,3.0,13.0,13.0
35,36.0,M Rawat,15.0,70.0,0.0,0.0,55.0,6.0,14.0,49.0,56.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
36,37.0,D Salunkhe,5.0,24.0,51.0,1.0,33.0,26.0,20.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38.0,SK Warne,55.0,219.0,1223.0,1.0,198.0,83.0,105.0,115.0,114.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39.0,SK Trivedi,76.0,61.0,1557.0,1.0,42.0,21.0,30.0,21.0,31.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
39,40.0,G Gambhir,147.0,3433.0,0.0,0.0,4132.0,1699.0,1356.0,2433.0,2077.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,41.0,V Sehwag,104.0,1833.0,138.0,0.0,2728.0,1301.0,927.0,1427.0,906.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,0.0
41,42.0,S Dhawan,127.0,3005.0,49.0,0.0,3561.0,2262.0,1857.0,1299.0,1148.0,6.0,7.0,7.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0
42,43.0,L Ronchi,5.0,37.0,0.0,0.0,34.0,21.0,24.0,13.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,44.0,ST Jayasuriya,30.0,573.0,301.0,1.0,768.0,449.0,348.0,319.0,225.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,45.0,DJ Thornely,5.0,54.0,44.0,1.0,39.0,38.0,48.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,46.0,RV Uthappa,146.0,2960.0,0.0,0.0,3778.0,1516.0,1263.0,2262.0,1697.0,7.0,2.0,2.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0
46,47.0,PR Shah,14.0,96.0,0.0,0.0,92.0,57.0,71.0,35.0,25.0,7.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
47,48.0,AM Nayar,51.0,588.0,239.0,0.0,672.0,357.0,308.0,315.0,280.0,7.0,1.0,7.0,4.0,4.0,10.0,5.0,0.0,0.0,0.0
48,49.0,SM Pollock,13.0,116.0,280.0,1.0,147.0,108.0,76.0,39.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,50.0,Harbhajan Singh,136.0,591.0,2989.0,1.0,799.0,447.0,313.0,352.0,278.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
50,51.0,S Chanderpaul,3.0,33.0,0.0,0.0,25.0,2.0,9.0,23.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,52.0,LRPL Taylor,55.0,847.0,13.0,0.0,1017.0,308.0,293.0,709.0,554.0,2.0,2.0,2.0,5.0,6.0,10.0,6.0,0.0,0.0,0.0
52,53.0,AC Gilchrist,80.0,1554.0,1.0,0.0,2069.0,943.0,763.0,1126.0,791.0,8.0,8.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
53,54.0,Y Venugopal Rao,58.0,865.0,222.0,0.0,985.0,521.0,476.0,464.0,389.0,8.0,8.0,8.0,6.0,6.0,0.0,11.0,0.0,0.0,0.0
54,55.0,VVS Laxman,20.0,271.0,0.0,0.0,282.0,147.0,146.0,135.0,125.0,8.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
55,56.0,A Symonds,36.0,781.0,540.0,1.0,974.0,622.0,472.0,352.0,309.0,8.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
56,57.0,RG Sharma,156.0,3274.0,342.0,0.0,4207.0,2344.0,1726.0,1863.0,1548.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
57,58.0,SB Styris,12.0,134.0,222.0,1.0,131.0,59.0,50.0,72.0,84.0,8.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
58,59.0,SB Bangar,11.0,58.0,153.0,1.0,49.0,28.0,38.0,21.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,60.0,WPUJC Vaas,13.0,73.0,288.0,1.0,81.0,62.0,58.0,19.0,15.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,61.0,RP Singh,82.0,78.0,1874.0,1.0,52.0,29.0,36.0,23.0,42.0,8.0,8.0,8.0,9.0,7.0,2.0,0.0,0.0,12.0,0.0
61,62.0,WP Saha,92.0,1219.0,0.0,0.0,1557.0,1026.0,797.0,531.0,422.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
